Tow_number,Net_number,Taxon,Std_length_mm,Ship,DayNight
10,2,bristlemouth,38.86,Cook,Day
10,2,bristlemouth,44.61,Cook,Day
10,2,bristlemouth,41.74,Cook,Day
10,2,bristlemouth,40.54,Cook,Day
10,2,bristlemouth,42.18,Cook,Day
10,2,bristlemouth,38.9,Cook,Day
10,2,bristlemouth,45.34,Cook,Day
10,2,bristlemouth,31.64,Cook,Day
10,2,bristlemouth,33.39,Cook,Day
10,2,bristlemouth,35.79,Cook,Day
10,2,unknown,38.06,Cook,Day
10,2,bristlemouth,57.72,Cook,Day
10,2,bristlemouth,57.26,Cook,Day
10,2,bristlemouth,44.96,Cook,Day
10,2,bristlemouth,46.41,Cook,Day
10,2,bristlemouth,48.77,Cook,Day
10,2,bristlemouth,53.02,Cook,Day
10,2,bristlemouth,32.89,Cook,Day
10,2,bristlemouth,47.17,Cook,Day
10,3,bristlemouth,31.99,Cook,Day
10,3,bristlemouth,21.86,Cook,Day
10,3,bristlemouth,28.78,Cook,Day
10,3,bristlemouth,29.81,Cook,Day
10,3,bristlemouth,32.97,Cook,Day
10,3,myctophid,27.77,Cook,Day
10,3,myctophid,22.51,Cook,Day
10,3,myctophid,22.81,Cook,Day
10,3,unknown 1,12.84,Cook,Day
10,3,unknown 1,12.07,Cook,Day
10,3,unknown 2,17.27,Cook,Day
10,3,unknown 2,14.67,Cook,Day
10,3,unknown 2,17.12,Cook,Day
10,4,hatchetfish,24.33,Cook,Day
10,4,hatchetfish,24.73,Cook,Day
10,4,hatchetfish,21.42,Cook,Day
10,10,bristlemouth,32.43,Cook,Day
11,2,bristlemouth,57.11,Cook,Night
11,2,bristlemouth,42.4,Cook,Night
11,2,bristlemouth,29.18,Cook,Night
11,2,bristlemouth,26.16,Cook,Night
11,2,bristlemouth,43.65,Cook,Night
11,2,bristlemouth,33.52,Cook,Night
11,2,bristlemouth,32.1,Cook,Night
11,2,bristlemouth,31.19,Cook,Night
11,2,bristlemouth,38.83,Cook,Night
11,2,bristlemouth,36.97,Cook,Night
11,2,bristlemouth,27.22,Cook,Night
11,2,bristlemouth,32.54,Cook,Night
11,2,bristlemouth,33.42,Cook,Night
11,3,bristlemouth,29.27,Cook,Night
11,3,bristlemouth,32.74,Cook,Night
11,3,unknown,32.06,Cook,Night
11,3,myctophid,25.46,Cook,Night
11,10,myctophid,25.52,Cook,Night
11,10,myctophid,23.79,Cook,Night
11,10,myctophid,21.93,Cook,Night
11,10,myctophid,26.19,Cook,Night
11,10,myctophid,31.18,Cook,Night
11,10,myctophid,27.84,Cook,Night
11,10,myctophid,21.99,Cook,Night
11,10,myctophid,24.71,Cook,Night
11,10,myctophid,27.64,Cook,Night
11,10,myctophid,22.39,Cook,Night
11,10,myctophid,26.73,Cook,Night
11,10,myctophid,18.34,Cook,Night
11,10,unknown,53.57,Cook,Night
11,10,myctophid,34.43,Cook,Night
11,10,myctophid,35.65,Cook,Night
11,10,myctophid,26.74,Cook,Night
11,10,myctophid,25.73,Cook,Night
11,10,myctophid,37.78,Cook,Night
