CTNID,StudyName,CruiseTow,Cruise,Year,CruiseName,RVName,CruiseDateStart,CruiseDateEnd,TZZoneName,CruisePersID,Tow,R2R_Event,Epoch,DayEpoch,Date,DateTimeStart,DateTimeLocal,TimeStart,TimeLocal,DayNight,LatDegStart,LatMinStart,LatitudeStart,LongDegStart,LongMinStart,LongitudeStart,DateTimeEnd,DateTimeLocalEnd,TimeEnd,TimeLocalEnd,LatDegEnd,LatMinEnd,LatitudeEnd,LongDegEnd,LongMinEnd,LongitudeEnd,DurationTow,SolarElevationCorr,Heading,SOG,WaterDepth,WindSpeed,WindDirection,Weather,CloudCover,Seas,SST,SSS,TowPersID,NetID,NetName,MeshSize,NetLength,LengthHorizontal,LengthVertical,AreaM2,TowType,DepthTarget,DepthMaximum,WireOut,R2R_EventCTD,Cast,MOCDNPair,PreCast,PostCast,FirstMCN,Net,DepthStart,DepthEnd,DepthInterval,TimeNet,Dpth,AngleNet,FlowCounts,VolFilt,Temp,Sal,PayRetrievRate,FracBiom,FracPreserved,FracETS,FracGutFluor,FracGutContents,maxVolFiltM3,CruiseNotes,NetNotes,CTNNotes
100101,EXPORTS,1001,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,1,RR1813-SE-20180814.0641.001,1,-1,8/14/18,2018-08-14T06:38:00,2018-08-13T21:38:00,6:38:00,21:38:00,Night,50,5.216,50.08693333,145,3.193,145.0532167,2018-08-14T07:35:00,2018-08-13T22:35:00,7:35:00,22:35:00,,,,,,,57,-41.97913558,218,1.9,5927,18.5,237,,100,2,14.2,32.28,SteD/StaK/MicA/CopJ/CouC/HirM,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-150,160,263,RR1813-SE-20180814.0350.001,,,0,9999999999,,1,0,150,0-150,6:58,150.8,46.9,597,2695.7,5.106,33.598,10/20/10/0/-5,,,,,,,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,
100102,EXPORTS,1001,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,1,RR1813-SE-20180814.0641.001,1,-1,8/14/18,2018-08-14T06:38:00,2018-08-13T21:38:00,6:38:00,21:38:00,Night,50,5.216,50.08693333,145,3.193,145.0532167,2018-08-14T07:35:00,2018-08-13T22:35:00,7:35:00,22:35:00,,,,,,,57,-41.97913558,218,1.9,5927,18.5,237,,100,2,14.2,32.28,SteD/StaK/MicA/CopJ/CouC/HirM,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-150,160,263,RR1813-SE-20180814.0350.001,,,0,9999999999,,2,150,100,150-100,7:09,99.5,48.8,233,973.4,5.74,32.682,0.714285714,,,,,,,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,
100103,EXPORTS,1001,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,1,RR1813-SE-20180814.0641.001,1,-1,8/14/18,2018-08-14T06:38:00,2018-08-13T21:38:00,6:38:00,21:38:00,Night,50,5.216,50.08693333,145,3.193,145.0532167,2018-08-14T07:35:00,2018-08-13T22:35:00,7:35:00,22:35:00,,,,,,,57,-41.97913558,218,1.9,5927,18.5,237,,100,2,14.2,32.28,SteD/StaK/MicA/CopJ/CouC/HirM,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-150,160,263,RR1813-SE-20180814.0350.001,,,0,9999999999,,3,100,50,100-50,7:23,49.1,47.7,317,1358.9,8.366,32.445,-7,,,,,,,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,
100104,EXPORTS,1001,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,1,RR1813-SE-20180814.0641.001,1,-1,8/14/18,2018-08-14T06:38:00,2018-08-13T21:38:00,6:38:00,21:38:00,Night,50,5.216,50.08693333,145,3.193,145.0532167,2018-08-14T07:35:00,2018-08-13T22:35:00,7:35:00,22:35:00,,,,,,,57,-41.97913558,218,1.9,5927,18.5,237,,100,2,14.2,32.28,SteD/StaK/MicA/CopJ/CouC/HirM,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-150,160,263,RR1813-SE-20180814.0350.001,,,0,9999999999,,4,50,0,50-0,7:35,-0.5,42.3,155,713.7,14.105,,-7,,,,,,,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,
101001,EXPORTS,1010,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,10,RR1813-SE-20180816.1940.001,1,2,8/16/18,2018-08-16T19:38:00,2018-08-16T10:38:00,19:38:00,10:38:00,Day,50,10.047,50.16745,144,58.47,144.9745,2018-08-16T23:32:00,2018-08-16T14:32:00,23:32:00,14:32:00,50,7.701,50.12835,145,11.488,145.1914667,234,26.31907078,268,1.9,4255.7,14.4,303.8,,100,1,14.21,32.26,SteD/StaK/MicA/CopJ/CouC/MenB,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-1000,1010,2344.1,,1,1,1010010036,1010100639,1010010037,1,0,1000,0-1000,20:50,999.1,40.8,945,4566.5,3.037,34.356,10/20 @ 100m wire out/30 @ 100m net depth/40/30/20/10,,,,,,4892.3,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,
101002,EXPORTS,1010,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,10,RR1813-SE-20180816.1940.001,1,2,8/16/18,2018-08-16T19:38:00,2018-08-16T10:38:00,19:38:00,10:38:00,Day,50,10.047,50.16745,144,58.47,144.9745,2018-08-16T23:32:00,2018-08-16T14:32:00,23:32:00,14:32:00,50,7.701,50.12835,145,11.488,145.1914667,234,26.31907078,268,1.9,4255.7,14.4,303.8,,100,1,14.21,32.26,SteD/StaK/MicA/CopJ/CouC/MenB,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-1000,1010,2344.1,,1,1,1010010036,1010100639,1010010037,2,1000,750,1000-750,21:23,748.7,49.8,604,,3.451,34.239,10/0 @ 990m/-10/-20/-30/-20,4,2,,,,2606.6,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,Volume filtered incorrect (= 23889.5); corrected using PRO file.
101003,EXPORTS,1010,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,10,RR1813-SE-20180816.1940.001,1,2,8/16/18,2018-08-16T19:38:00,2018-08-16T10:38:00,19:38:00,10:38:00,Day,50,10.047,50.16745,144,58.47,144.9745,2018-08-16T23:32:00,2018-08-16T14:32:00,23:32:00,14:32:00,50,7.701,50.12835,145,11.488,145.1914667,234,26.31907078,268,1.9,4255.7,14.4,303.8,,100,1,14.21,32.26,SteD/StaK/MicA/CopJ/CouC/MenB,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-1000,1010,2344.1,,1,1,1010010036,1010100639,1010010037,3,750,500,750-500,21:50,500.4,50.6,503,1968.8,3.933,34.097,-20,4,4,,,4,2144.1,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,
101004,EXPORTS,1010,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,10,RR1813-SE-20180816.1940.001,1,2,8/16/18,2018-08-16T19:38:00,2018-08-16T10:38:00,19:38:00,10:38:00,Day,50,10.047,50.16745,144,58.47,144.9745,2018-08-16T23:32:00,2018-08-16T14:32:00,23:32:00,14:32:00,50,7.701,50.12835,145,11.488,145.1914667,234,26.31907078,268,1.9,4255.7,14.4,303.8,,100,1,14.21,32.26,SteD/StaK/MicA/CopJ/CouC/MenB,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-1000,1010,2344.1,,1,1,1010010036,1010100639,1010010037,4,500,400,500-400,22:05,400,52.2,308,1171,4.156,34.015,-15,4,2,,,,1286,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,Salpa/Siphonophrae made a mess of the sample.  Many animals were caught and damaged in the gelantinous mass they made.  I tried to separate as many animals as possible.  I likely missed smaller animals (especially Onceaidae and Oithonidae)/transparent animals (Eucalanus).  Many animals were damaged
101005,EXPORTS,1010,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,10,RR1813-SE-20180816.1940.001,1,2,8/16/18,2018-08-16T19:38:00,2018-08-16T10:38:00,19:38:00,10:38:00,Day,50,10.047,50.16745,144,58.47,144.9745,2018-08-16T23:32:00,2018-08-16T14:32:00,23:32:00,14:32:00,50,7.701,50.12835,145,11.488,145.1914667,234,26.31907078,268,1.9,4255.7,14.4,303.8,,100,1,14.21,32.26,SteD/StaK/MicA/CopJ/CouC/MenB,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-1000,1010,2344.1,,1,1,1010010036,1010100639,1010010037,5,400,300,400-300,22:24,299.4,51.8,397,1512.7,4.195,33.892,-15,4,2,,,,1646,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,
101006,EXPORTS,1010,1,2018,RR1813,Roger Revelle,8/10/18,9/12/18,America/Adak,SteD/StaK/MicA/CopJ/CouC,10,RR1813-SE-20180816.1940.001,1,2,8/16/18,2018-08-16T19:38:00,2018-08-16T10:38:00,19:38:00,10:38:00,Day,50,10.047,50.16745,144,58.47,144.9745,2018-08-16T23:32:00,2018-08-16T14:32:00,23:32:00,14:32:00,50,7.701,50.12835,145,11.488,145.1914667,234,26.31907078,268,1.9,4255.7,14.4,303.8,,100,1,14.21,32.26,SteD/StaK/MicA/CopJ/CouC/MenB,1,MOCNESS-1,222,6000,1000,1415,1.415,Oblique,0-1000,1010,2344.1,,1,1,1010010036,1010100639,1010010037,6,300,200,300-200,22:45,198.4,50.8,256,998.2,4.593,33.73,-10,4,2,,,,1865.8,,Measurements from Wiebe et al 1985/Baker et al 1973/ MOCNESS Manual.,Software froze @ 22:28.  Restarted software @ 22:35.  This resulted in a data gap between 288 (22:26) and 252 (22:34) m.  Volume filtered estimated: change in flowmeter calibration = 4.4/4.75 = 0.926; vol filt in first line of original CastA_01A.PRO (and mcn) file after software restart refers to Ne
