object_id,object_lat,object_lon,object_date,object_time,object_link,object_depth_min,object_depth_max,object_annotation_status,object_annotation_person_name,object_annotation_person_email,object_annotation_date,object_annotation_time,object_annotation_category,object_annotation_hierarchy,object_lat_end,object_lon_end,object_area,object_mean,object_stddev,object_mode,object_min,object_max,object_x,object_y,object_xm,object_ym,object_perim.,object_bx,object_by,object_width,object_height,object_major,object_minor,object_angle,object_circ.,object_feret,object_intden,object_median,object_skew,object_kurt,object_%area,object_xstart,object_ystart,object_area_exc,object_fractal,object_skelarea,object_slope,object_histcum1,object_histcum2,object_histcum3,object_xmg5,object_ymg5,object_nb1,object_nb2,object_nb3,object_compentropy,object_compmean,object_compslope,object_compm1,object_compm2,object_compm3,object_symetrieh,object_symetriev,object_symetriehc,object_symetrievc,object_convperim,object_convarea,object_fcons,object_thickr,object_tag,object_esd,object_elongation,object_range,object_meanpos,object_centroids,object_cv,object_sr,object_perimareaexc,object_feretareaexc,object_perimferet,object_perimmajor,object_circex,object_cdexc,sample_id,sample_dataportal_descriptor,sample_scan_operator,sample_ship,sample_program,sample_stationid,sample_bottomdepth,sample_ctdrosettefilename,sample_other_ref,sample_tow_nb,sample_tow_type,sample_net_type,sample_net_mesh,sample_net_surf,sample_zmax,sample_zmin,sample_tot_vol,sample_comment,sample_tot_vol_qc,sample_depth_qc,sample_sample_qc,sample_barcode,sample_duration,sample_ship_speed,sample_cable_length,sample_cable_angle,sample_cable_speed,sample_nb_jar,sample_open,process_id,process_date,process_time,process_img_software_version,process_img_resolution,process_img_od_grey,process_img_od_std,process_img_background_img,process_particle_version,process_particle_threshold,process_particle_pixel_size_mm,process_particle_min_size_mm,process_particle_max_size_mm,process_particle_sep_mask,process_particle_bw_ratio,process_software,acq_id,acq_instrument,acq_min_mesh,acq_max_mesh,acq_sub_part,acq_sub_method,acq_hardware,acq_software,acq_author,acq_imgtype,acq_scan_date,acq_scan_time,acq_quality,acq_bitpixel,acq_greyfrom,acq_scan_resolution,acq_rotation,acq_miror,acq_xsize,acq_ysize,acq_xoffset,acq_yoffset,acq_lut_color_balance,acq_lut_filter,acq_lut_min,acq_lut_max,acq_lut_odrange,acq_lut_ratio,acq_lut_16b_median,objid,processid_internal,acq_id_internal,sample_id_internal,classif_id,classif_who,classif_auto_id,classif_auto_name,classif_auto_score,classif_auto_when,object_random_value,object_sunpos,sample_lat,sample_long
201009_2000_1_2_1_tot_1_86,49,-15,20210506,105300,http://www.zooscan.obs-vlfr.fr//,50,100,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132849,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,61655,166.54,57.429,95,88,255,309.95,341.12,334.38,356.36,2469.16,1814,10544,603,570,679.2,115.6,139.6,0.127,794.8,10267899,168,0.062,-1.642,5.74,1820,10544,58119,1.265,3921,4.015,104,156,218,0,0,5,2,0,0,0,0,0,0,0,7.657,7.553,7,7,2342,98182,87.509,2.979,1,280.1813415,5.853448276,167,-1.126305067,28.3019434,34.22601177,34.13173653,10.24146354,3.297676596,3.105660377,3.63622975,0.119808,0.117397052,201009_2000_1_2_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4665.1,nan,nan,1,1,mocness,200,1.4,100,50,528.7,nan,1,1,1111,nan,99999,1.7,99999,99999,99999,1,nan,zooprocess_201009_2000_1_2_1,20221020,50:00.0,8.03_picheral_cnrs,2400,nan,0,20220921_1156_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.0146,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201009_2000_1_2_1,zooscan,2000,5000,2,folsom,hydroptic_v3,9.7.67,jc,zooscan,20220921,49:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,607,50709,1.8,1.15,44095.2,443715526,1715473,1715473,454141,56693,80,,Gnathostomata,,,78095802,D,49,-15
201009_2000_1_2_1_tot_1_98,49,-15,20210506,105300,http://www.zooscan.obs-vlfr.fr//,50,100,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132849,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,54524,163.21,46.312,124,81,250,410.8,278.85,403.84,271.74,3177.46,2655,12091,614,644,556.8,124.7,127.6,0.068,816.8,8898622,153,0.289,-1.181,0.22,2840,12091,54402,1.192,3086,2.77,124,151,204,0,0,9,4,0,0,0,0,0,0,0,10.035,9.686,7,7,2512,164047,68.762,2.481,1,263.4807639,4.456,169,-1.055710984,9.899494937,28.18454752,27.21893491,13.62102474,3.502794213,3.888616891,5.703770197,0.067731439,0.042442954,201009_2000_1_2_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4665.1,nan,nan,1,1,mocness,200,1.4,100,50,528.7,nan,1,1,1111,nan,99999,1.7,99999,99999,99999,1,nan,zooprocess_201009_2000_1_2_1,20221020,50:00.0,8.03_picheral_cnrs,2400,nan,0,20220921_1156_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.0146,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201009_2000_1_2_1,zooscan,2000,5000,2,folsom,hydroptic_v3,9.7.67,jc,zooscan,20220921,49:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,607,50709,1.8,1.15,44095.2,443715538,1715473,1715473,454141,56693,80,,Gnathostomata,,,76620398,D,49,-15
201010_5000_1_2_1_tot_1_83,49,-15,20210506,105300,http://www.zooscan.obs-vlfr.fr//,0,50,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132500,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,1351320,91.19,73.308,27,26,255,1571.1,693.12,1889.86,862.74,20695.36,12832,11551,3316,1711,3392.8,507.1,154.9,0.04,3580.9,123229305,54,1.095,-0.419,2.32,13228,11551,1319932,1.314,69543,102.133,38,52,109,0,0,101,136,0,0,0,0,0,0,0,7.193,7.188,7,7,10050,2016076,0,2.566,1,1311.698922,6.692307692,229,-2.512808713,361.4706074,80.05263735,31.87772926,18.01314943,3.116940716,5.77911198,6.099322134,0.03872849,0.314627884,201010_5000_1_2_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4665.1,nan,nan,1,1,mocness,200,1.4,50,0,528.2,nan,1,1,1111,nan,99999,1.7,99999,99999,99999,1,nan,zooprocess_201010_5000_1_2_1,20221020,40:00.0,8.03_picheral_cnrs,2400,nan,0,20220921_1156_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.0263,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201010_5000_1_2_1,zooscan,5000,999999,2,folsom,hydroptic_v3,9.7.67,jc,zooscan,20220922,17:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,613,51210,1.8,1.15,44531.3,443716963,1715477,1715477,454145,56693,80,,Gnathostomata,,,56926878,D,49,-15
201109_2000_1_4_1_tot_1_257,49,-15,20210506,213000,http://www.zooscan.obs-vlfr.fr//,50,100,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132849,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,15984,178.67,39.417,243,105,246,137.43,83.32,140.17,84.28,1092.38,2387,13364,319,167,274.2,74.2,162,0.168,328.4,2855855,176,0,-1.163,0.07,2424,13364,15973,1.159,778,0.855,147,175,213,0,0,3,3,0,0,0,0,0,0,0,5.516,5.299,6,6,968,27052,192.961,1.862,1,142.6585465,3.702702703,141,-0.913940546,3.16227766,21.82795097,27.65957447,8.640311353,2.595258355,3.329268293,3.98540146,0.168325952,0.02502112,201109_2000_1_4_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4659.9,nan,nan,1,1,mocness,200,1.4,100,50,449.7,nan,1,1,1111,nan,99999,2.2,99999,99999,99999,1,nan,zooprocess_201109_2000_1_4_1,20221020,00:00.0,8.03_picheral_cnrs,2400,nan,0,20221012_1044_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.0545,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201109_2000_1_4_1,zooscan,2000,5000,4,folsom,hydroptic_v3,9.7.67,jc,zooscan,20221012,08:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,605,50527,1.8,1.15,43937.25,443717761,1715479,1715479,454147,56693,80,,Gnathostomata,,,69539830,U,49,-15
201202_5000_1_2_1_tot_1_68,49,-15,20210507,20200,http://www.zooscan.obs-vlfr.fr//,0,50,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132849,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,53141,174.66,35.37,152,90,255,461.72,263.63,467.09,266.32,2925.64,3619,12974,934,494,560.8,120.7,164.5,0.078,992.4,9281831,170,0.116,-0.445,0.46,3630,12974,52899,1.139,1500,3.424,150,168,197,0,0,22,4,0,0,0,0,0,0,0,14.258,14.251,18,18,2852,192949,69.543,2.131,1,260.1177092,4.636363636,165,-0.94897236,5.385164807,20.03893278,21.21212121,12.72185938,4.313084245,2.949596774,5.215686275,0.07764414,0.023413981,201202_5000_1_2_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4660,nan,nan,1,1,mocness,200,1.4,50,0,523.9,nan,1,1,1111,nan,99999,2.2,99999,99999,99999,1,nan,zooprocess_201202_5000_1_2_1,20221021,27:00.0,8.03_picheral_cnrs,2400,nan,0,20221012_1044_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.0694,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201202_5000_1_2_1,zooscan,5000,999999,2,folsom,hydroptic_v3,9.7.67,jc,zooscan,20221014,57:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,593,49501,1.8,1.15,43044.35,443719879,1715484,1715484,454152,56693,80,,Gnathostomata,,,99519359,N,49,-15
201202_9900_1_1_1_tot_1_13,49,-15,20210507,20200,http://www.zooscan.obs-vlfr.fr//,0,50,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132500,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,2608458,63.4,38.371,44,35,255,2009.98,2746.32,2057.91,2644.05,19402.88,916,452,4350,4070,4513.9,735.8,42.1,0.087,5801.3,165377431,49,3.07,9.38,0.09,5212,452,2606210,1.143,72311,416.47,44,48,61,0,0,797,228,0,0,0,0,0,0,0,9.449,9.308,9,9,16836,4375680,0.003,2.55,1,1822.41375,6.133152174,220,-6.746478873,112.7297654,59.93690852,17.27272727,12.01888501,3.59333876,3.344768143,4.298404962,0.086992438,0.069828691,201202_9900_1_1_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4660,nan,nan,1,1,mocness,200,1.4,50,0,523.9,nan,1,1,1111,nan,99999,2.2,99999,99999,99999,1,nan,zooprocess_201202_9900_1_1_1,20221021,55:00.0,8.03_picheral_cnrs,2400,nan,0,20221012_1044_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.2742,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201202_9900_1_1_1,zooscan,999999,999999,1,hand,hydroptic_v3,9.7.67,jc,zooscan,20221013,01:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,581,48505,1.8,1.15,42178.4,443719950,1715485,1715485,454153,56693,80,,Gnathostomata,,,67703455,N,49,-15
201202_9900_1_1_1_tot_1_15,49,-15,20210507,20200,http://www.zooscan.obs-vlfr.fr//,0,50,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132500,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,2439254,69.33,60.032,32,30,255,1451.48,1498.64,1747.31,1265.42,23526.88,4691,486,3436,2591,3787.6,820,35.6,0.055,4128.8,169113097,45,1.929,2.156,0.58,7900,486,2425158,1.291,91174,300.845,35,44,56,0,0,296,425,0,0,0,0,0,0,0,5.203,5.365,5,5,12050,3268952,0,3.185,1,1762.31514,4.619512195,225,-4.720823799,377.3221435,86.54262224,26.66666667,15.10763672,2.65139763,5.697989828,6.21092925,0.055057539,0.242293785,201202_9900_1_1_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4660,nan,nan,1,1,mocness,200,1.4,50,0,523.9,nan,1,1,1111,nan,99999,2.2,99999,99999,99999,1,nan,zooprocess_201202_9900_1_1_1,20221021,55:00.0,8.03_picheral_cnrs,2400,nan,0,20221012_1044_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.2742,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201202_9900_1_1_1,zooscan,999999,999999,1,hand,hydroptic_v3,9.7.67,jc,zooscan,20221013,01:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,581,48505,1.8,1.15,42178.4,443719952,1715485,1715485,454153,56693,80,,Gnathostomata,,,22888489,N,49,-15
201202_9900_1_1_1_tot_1_32,49,-15,20210507,20200,http://www.zooscan.obs-vlfr.fr//,0,50,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132500,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,1196164,73.59,61.337,34,32,255,1578.24,457.53,1327.84,505.91,13450.41,9360,1199,2768,886,2663.5,571.8,11.6,0.083,2842.4,88020688,47,1.79,1.609,0.68,11677,1199,1188031,1.269,31702,144.552,38,46,60,0,0,152,416,0,0,0,0,0,0,0,4.836,4.992,5,5,7304,1549200,0,2.47,1,1234.100201,4.657342657,223,-4.361865833,254.5662978,82.89169724,27.35426009,12.33980787,2.607415165,4.732582688,5.048798799,0.082526432,0.233553844,201202_9900_1_1_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4660,nan,nan,1,1,mocness,200,1.4,50,0,523.9,nan,1,1,1111,nan,99999,2.2,99999,99999,99999,1,nan,zooprocess_201202_9900_1_1_1,20221021,55:00.0,8.03_picheral_cnrs,2400,nan,0,20221012_1044_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.2742,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201202_9900_1_1_1,zooscan,999999,999999,1,hand,hydroptic_v3,9.7.67,jc,zooscan,20221013,01:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,581,48505,1.8,1.15,42178.4,443719969,1715485,1715485,454153,56693,80,,Gnathostomata,,,23747118,N,49,-15
201202_9900_1_1_1_tot_1_205,49,-15,20210507,20200,http://www.zooscan.obs-vlfr.fr//,0,50,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132500,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,934287,72.07,62.107,31,30,255,1255.74,805.18,1040.38,690.42,11388.78,4621,6178,2207,1390,2343,507.7,151.7,0.091,2486.7,67335598,47,1.757,1.506,0.53,4715,6178,929381,1.245,24814,115.993,35,45,59,0,0,71,173,0,0,0,0,0,0,0,4.999,5.149,5,5,7190,1178452,0,2.704,1,1090.674633,4.612204724,225,-4.348229142,244.705946,86.02747329,27.55555556,11.81377508,2.57975754,4.579412947,4.860862143,0.090039374,0.253832734,201202_9900_1_1_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4660,nan,nan,1,1,mocness,200,1.4,50,0,523.9,nan,1,1,1111,nan,99999,2.2,99999,99999,99999,1,nan,zooprocess_201202_9900_1_1_1,20221021,55:00.0,8.03_picheral_cnrs,2400,nan,0,20221012_1044_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.2742,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201202_9900_1_1_1,zooscan,999999,999999,1,hand,hydroptic_v3,9.7.67,jc,zooscan,20221013,01:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,581,48505,1.8,1.15,42178.4,443720142,1715485,1715485,454153,56693,80,,Gnathostomata,,,73803835,N,49,-15
201202_9900_1_1_1_tot_1_210,49,-15,20210507,20200,http://www.zooscan.obs-vlfr.fr//,0,50,validated,Leocadio Blanco-Bercial,Leocadio@bios.edu,20221031,132500,Actinopterygii,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,49,-15,1287179,65.42,64.143,26,25,255,1016.92,1094.65,855.64,1364.05,15857.01,10410,6224,1720,2549,2714.5,603.8,59.8,0.064,2944.7,84204576,38,1.87,1.859,0.6,11942,6224,1279447,1.298,37975,166.334,30,37,48,0,0,134,305,0,0,0,0,0,0,0,5.036,5.188,5,5,8534,1643984,0,2.715,1,1280.1903,4.495033113,230,-4.69025235,313.4996013,97.82940997,27.82608696,14.01876889,2.603599317,5.384380306,5.840515654,0.063942574,0.277156994,201202_9900_1_1_1,nan,jc,james_cook-jc214,exports,porcupine_abyssal_plain_so,4660,nan,nan,1,1,mocness,200,1.4,50,0,523.9,nan,1,1,1111,nan,99999,2.2,99999,99999,99999,1,nan,zooprocess_201202_9900_1_1_1,20221021,55:00.0,8.03_picheral_cnrs,2400,nan,0,20221012_1044_background_large_manual.tif,8.09_2022/04/06_picheral_cnrs,243,0.0106,0.3,100,include,0.2742,zooprocess_pid_to_ecotaxa_8.03_2021/11/10,tot_201202_9900_1_1_1,zooscan,999999,999999,1,hand,hydroptic_v3,9.7.67,jc,zooscan,20221013,01:00.0,nan,3,2,3,3,1,29200,50424,5924,3608,manual,no,581,48505,1.8,1.15,42178.4,443720147,1715485,1715485,454153,56693,80,,Gnathostomata,,,66659360,N,49,-15
