Label,cruise,Tow_number,Net_number,fraction,sub_part_correct,split_correct,Min_depth,Max_depth,hdif,Tow_Vol,gray_mode,area_mm2,major_mm,minor_mm,feret_mm,esd_mm,vol,Taxa,L_D,D_N,DW,O2_umol,CO2,Family,Std_length_mm,Less_10mm_or_no_ecotaxa_image
201009_2000_1_2_1_tot_1_86,jc0214,10,9,2000,2,0.5,50,100,50,528.7,95,6.90536,7.1879736,1.2233948,8.4113684,2.965159137,5.632981904,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Day,0.081678238,0.039889297,0.034703689,Gonostomatidae,,Y
201009_2000_1_2_1_tot_1_98,jc0214,10,9,2000,2,0.5,50,100,50,528.7,124,6.106688,5.8926144,1.3197001,8.6441944,2.788416924,5.373498652,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Day,0.07791573,0.039739986,0.034573788,Gonostomatidae,10.271,
201010_5000_1_2_1_tot_1_83,jc0214,10,10,5000,2,0.5,0,50,50,528.2,27,151.34784,35.9060024,5.3666393,37.8966647,13.88170969,541.4651271,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Day,7.851244343,0.199193126,0.17329802,Gonostomatidae,32.93,
201109_2000_1_4_1_tot_1_257,jc0214,11,9,2000,2,0.5,50,100,50,449.7,243,1.790208,2.9018586,0.7852586,3.4754572,1.509755398,0.936915172,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Night,0.01358527,0.039061336,0.033983362,Gonostomatidae,,Y
201202_5000_1_2_1_tot_1_68,jc0214,11,10,5000,2,0.5,0,50,50,523.9,152,5.951792,5.9349464,1.2773681,10.5025692,2.752825716,5.070462275,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Night,0.073521703,0.046827264,0.040739719,Paralepididae,43.201,
201202_9900_1_1_1_tot_1_13,jc0214,11,10,9900,1,1,0,50,50,523.9,44,292.147296,47.7706037,7.7869714,61.3951579,19.28660472,1516.68891,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Night,21.9919892,0.399266316,0.347361695,Myctophidae,56.906,
201202_9900_1_1_1_tot_1_15,jc0214,11,10,9900,1,1,0,50,50,523.9,32,273.196448,40.0841708,8.67806,43.6950904,18.65058113,1580.581241,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Night,22.918428,0.411234079,0.357773649,Myctophidae,38.062,
201202_9900_1_1_1_tot_1_32,jc0214,11,10,9900,1,1,0,50,50,523.9,34,133.970368,28.1878205,6.0513594,30.0811192,13.06048243,540.4630576,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Night,7.836714335,0.198961731,0.173096706,Myctophidae,24.942,
201202_9900_1_1_1_tot_1_205,jc0214,11,10,9900,1,1,0,50,50,523.9,31,104.640144,24.795969,5.3729891,26.3167461,11.54260964,374.8103941,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Night,5.434750715,0.159362796,0.138645632,Myctophidae,21.318,
201202_9900_1_1_1_tot_1_210,jc0214,11,10,9900,1,1,0,50,50,523.9,26,144.164048,28.7275535,6.3900154,31.1637601,13.54825394,614.1876424,living>Eukaryota>Opisthokonta>Holozoa>Metazoa>Chordata>Craniata>Vertebrata>Gnathostomata>Actinopterygii,living,Night,8.905720814,0.215769765,0.187719695,Myctophidae,27.627,
