 ,Area,Mean,Min,Max,Angle,Length
1,0.021,62.960,0.406,131.047,12.959,3.199
2,0.015,60.193,0.000,173.704,0.000,2.186
3,0.019,53.296,0.027,143.375,0.000,2.878
4,0.020,40.382,0.503,141.685,0.000,2.981
5,0.022,57.162,0.552,137.065,0.000,3.297
6,0.019,39.498,0.000,155.997,0.000,2.777
7,0.015,15.568,0.084,134.104,0.000,2.251
8,0.015,12.686,0.333,76.569,0.000,2.281
9,0.009,55.124,0.667,164.037,0.000,1.284
10,0.008,56.486,1.882,95.000,0.000,1.207
11,0.012,1.362,0.000,23.426,0.000,1.727
12,0.010,6.369,0.333,106.674,0.000,1.467
13,0.012,6.931,0.195,110.909,0.000,1.712
