 ,Area,Mean,Min,Max,Length
1,0.032,52.457,0.667,112.667,4.212
2,0.031,78.024,5.994,154.290,4.048
3,0.026,94.984,3.119,144.336,3.388
4,0.026,64.260,0.339,118.118,3.399
5,0.033,136.103,33.088,180.940,4.393
6,0.037,116.078,4.913,186.766,4.832
7,0.024,87.025,1.018,173.423,3.137
8,0.033,93.147,3.822,161.823,4.376
9,0.027,91.098,1.342,154.050,3.610
10,0.024,113.185,4.529,210.420,3.157
11,0.032,79.477,2.296,164.233,4.262
12,0.025,106.267,0.667,155.735,3.363
13,0.048,43.496,0.000,132.106,6.363
14,0.036,103.440,27.230,208.682,4.786
