CTNID,StudyName,CruiseTow,Cruise,Year,CruiseName,Ship,CruiseDateStart,CruiseDateEnd,TZZoneName,CruisePersID,Tow_number,R2R_Event,Epoch,DayEpoch,Date,DateTimeStart,DateTimeLocal,TimeStart,TimeLocal,DayNight,LatitudeStart,LongitudeStart,DateTimeEnd,DateTimeLocalEnd,TimeEnd,TimeLocalEnd,LatitudeEnd,LongitudeEnd,DurationTow,SolarElevationCorr,Heading,SOG,WaterDepth,WindSpeed,WindDirection,Weather,CloudCover,Seas,SST,SSS,TowPersID,NetID,NetName,MeshSize,NetLength,LengthHorizontal,LengthVertical,AreaM2,TowType,DepthTarget,DepthMaximum,WireOut,R2R_EventCTD,Cast,MOCDNPair,PreCast,PostCast,FirstMCN,Net_number,DepthStart,DepthEnd,DepthInterval,TimeNet,Dpth,AngleNet,FlowCounts,VolFilt,Temp,Sal,PayRetrievRate,FracBiom,FracPreserved,FracETS,FracGutFluor,FracGutContents,VolFiltM3,CruiseNotes,NetNotes,CTNNotes
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,1,,1,,5/6/21,2021-05-06T12:19:00 ,2021-05-06T12:19:00 ,12:19:00,12:19:00,Day,48.935947,-14.81727,,,14:22:00,,48.944183,-14.88836,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,0,0,1000,,,,,,,,,,,,,,,24176,,Two net bar wires missing 3rd from bottom and 5th (top)… Took nets 2 and 4 off to reduce strain on rest of wires,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,1,,1,,5/6/21,2021-05-06T12:19:00 ,2021-05-06T12:19:00 ,12:19:00,12:19:00,Day,48.935261,-14.81727,,,14:22:00,,48.944183,-14.88836,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,1,1000,500,,,,,,,,,,,,,,,15552,,Two net bar wires missing 3rd from bottom and 5th (top)… Took nets 2 and 4 off to reduce strain on rest of wires,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,1,,1,,5/6/21,2021-05-06T12:19:00 ,2021-05-06T12:19:00 ,12:19:00,12:19:00,Day,48.935261,-14.81727,,,14:22:00,,48.944183,-14.88836,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,2,n/a,n/a,,,,,,,,,,,,,,,,,Two net bar wires missing 3rd from bottom and 5th (top)… Took nets 2 and 4 off to reduce strain on rest of wires,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,1,,1,,5/6/21,2021-05-06T12:19:00 ,2021-05-06T12:19:00 ,12:19:00,12:19:00,Day,48.935261,-14.81727,,,14:22:00,,48.944183,-14.88836,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,3,500,0,,,,,,,,,,,,,,,27932,,Two net bar wires missing 3rd from bottom and 5th (top)… Took nets 2 and 4 off to reduce strain on rest of wires,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,1,,1,,5/6/21,2021-05-06T12:19:00 ,2021-05-06T12:19:00 ,12:19:00,12:19:00,Day,48.935261,-14.81727,,,14:22:00,,48.944183,-14.88836,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,4,n/a,n/a,,,,,,,,,,,,,,,,,Two net bar wires missing 3rd from bottom and 5th (top)… Took nets 2 and 4 off to reduce strain on rest of wires,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,2,,1,,5/6/21,2021-05-06T21:33:00 ,2021-05-06T21:33:00 ,21:33:00,21:33:00,Night,48.950748,-14.812915,,,0:11:00,,48.960967,-14.928838,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,0,0,1000,,,,,,,,,,,,,,,21475,,Parallel tow with R/V/ Cook’s MOC-1,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,2,,1,,5/6/21,2021-05-06T21:33:00 ,2021-05-06T21:33:00 ,21:33:00,21:33:00,Night,48.950748,-14.812915,,,0:11:00,,48.960967,-14.928838,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,1,1000,500,,,,,,,,,,,,,,,23023,,Parallel tow with R/V/ Cook’s MOC-1,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,2,,1,,5/6/21,2021-05-06T21:33:00 ,2021-05-06T21:33:00 ,21:33:00,21:33:00,Night,48.950748,-14.812915,,,0:11:00,,48.960967,-14.928838,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,2,500,300,,,,,,,,,,,,,,,12654,,Parallel tow with R/V/ Cook’s MOC-1,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,2,,1,,5/6/21,2021-05-06T21:33:00 ,2021-05-06T21:33:00 ,21:33:00,21:33:00,Night,48.950748,-14.812915,,,0:11:00,,48.960967,-14.928838,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,3,300,100,,,,,,,,,,,,,,,13316,,Parallel tow with R/V/ Cook’s MOC-1,
,EXPORTS,,,2021,SG2105,Sarmiento,5/4/21,5/21/21,Etc/UTC,LloJ,2,,1,,5/6/21,2021-05-06T21:33:00 ,2021-05-06T21:33:00 ,21:33:00,21:33:00,Night,48.950748,-14.812915,,,0:11:00,,48.960967,-14.928838,,,,,,,,,,,,,,,MOCNESS-10,333,,,,,Oblique,,,,,,,,,,4,100,0,,,,,,,,,,,,,,,7943,,Parallel tow with R/V/ Cook’s MOC-1,
