Ship,Tow_number,Net_number,Taxon,Fish.ID,Image.Name,ImageJ.Number,Std_length_mm,Notes,Tow_net,cruise_no,fish_no,packet_no,lowest_taxa_final,taxa_code_final,taxa_code_final_method,taxa_code_original,taxa_updated_date,visual_ID_confidence,photo_ID,total_weight,gut_weight_full,gut_weight_empty,gut_dispensation,sex,sex_confidence,gonad_weight,head_collected,body_location,fish_comments,processed_date,processed_initials,taxa_code,Lowest_taxon
Sarmiento,1,1,Gonostomatidae,MOC1-Net1-Gon-1,SG2105_MOC1_Net1_ImageJ,1,30.387,NA,1 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,1,1,Gonostomatidae,MOC1-Net1-Gon-2,SG2105_MOC1_Net1_ImageJ,2,31.857,NA,1 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,1,1,Gonostomatidae,MOC1-Net1-Gon-3,SG2105_MOC1_Net1_ImageJ,3,32.3925,NA,1 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,1,1,Myctophidae,MOC1-Net1-Myc-1,SG2105_MOC1_Net1_ImageJ,4,13.524,NA,1 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,1,3,Sternoptychidae,MOC1-Net3-Ste-1,SG2105_MOC1_Net3_ImageJ,1,22.722,NA,1 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,1,3,Myctophidae,MOC1-Net3-Myc-1,SG2105_MOC1_Net3_ImageJ,2,25.452,NA,1 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,1,3,Paralepididae,MOC1-Net3-Par-1,SG2105_MOC1_Net3_ImageJ,3,39.606,NA,1 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,1,Myctophidae,MOC2-Net1-Myc-1,SG2105_MOC2_Net1_ImageJ,1,11.025,NA,2 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,1,Gonostomatidae,MOC2-Net1-Gon-1,SG2105_MOC2_Net1_ImageJ,2,18.417,NA,2 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,1,Alepocephalidae,MOC2-Net1-Ale-1,SG2105_MOC2_Net1_ImageJ,3,16.3065,NA,2 _ 1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,2,Paralepididae,MOC2-Net2-Par-1,SG2105_MOC2_Net2_ImageJ,1,33.642,NA,2 _ 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,3,Paralepididae,MOC2-Net3-Par-1,SG2105_MOC2_Net3_ImageJ,1,17.1045,NA,2 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sarmiento,2,3,Paralepididae,MOC2-Net3-Par-2,SG2105_MOC2_Net3_ImageJ,2,21.4095,NA,2 _ 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
