cruise_no,Ship,Tow_number,Net_number,fish_no,packet_no,lowest_taxa_final,taxa_code_final,taxa_code_final_method,taxa_code_original,taxa_updated_date,visual_ID_confidence,photo_ID,total_length,fork_length,Std_length_mm,total_weight,gut_weight_full,gut_weight_empty,gut_dispensation,sex,sex_confidence,gonad_weight,head_collected,body_location,fish_comments,processed_date,processed_initials
SG2105,Sarmiento,1,1,1,14,Decapoda,DECA,visual,DECA,,,IMG_6718,,,18,3.2697,,,,,,,Y,not retained,"Used for resipirometry. Foil pack internal label was ind. #2, there were two ind. 2s. 8/4/21: Confirmed by HM that foil envelope #14 is individual 1, foil envelope #15 is individual 2. Maybe Acanthephyra sp.",20210730,JC
SG2105,Sarmiento,1,0,2,15,Systellapsis debilis,SYDE,genetic,DECA,20230725,,IMG_6719,,,14,1.7272,,,,,,,Y,not retained,Used for resipirometry. ,20210730,JC
SG2105,Sarmiento,2,4,3,33,Benthosema glaciale,BEGL,genetic,MYCT,20230725,,IMG_6732,,,39,0.8429,,,,,,,Y,not retained,Used for respirometry. Caudal fin missing,20210719,JC
SG2105,Sarmiento,2,4,4,34,Benthosema glaciale,BEGL,genetic,BEGL,20230725,L,IMG_6733,,,34,0.4717,,,,,,,Y,not retained,Used for respirometry. Caudal fin damaged. ID Notes: can't see POL or Prc but appears to be BEGL,20210719,JC
SG2105,Sarmiento,4,3,5,57,Amphipoda,AMPH,visual,AMPH,,,IMG_6833,,,15,0.14,,,,,,,Y,not retained,Used for resipirometry. ,20210727,JC
SG2105,Sarmiento,4,3,6,58,Amphipoda,AMPH,visual,AMPH,,,IMG_6830,,,13,0.0546,,,,,,,Y,not retained,Used for resipirometry. ,20210727,JC
SG2105,Sarmiento,4,3,7,59,Amphipoda,AMPH,visual,AMPH,,,IMG_6837,,,11,0.0478,,,,,,,Y,not retained,Used for resipirometry. ,20210727,JC
SG2105,Sarmiento,5,1,8,71,Decapoda,DECA,visual,DECA,,,IMG_6878,,,20,5.967,,,,,,,Y,not retained,Used for resipirometry. ,20210730,JC
SG2105,Sarmiento,5,1,9,72,Decapoda,DECA,visual,DECA,,,IMG_6880,,,18,4.2655,,,,,,,Y,not retained,Used for resipirometry. ,20210730,JC
SG2105,Sarmiento,5,1,10,73,Decapoda,DECA,visual,DECA,,,IMG_6881,,,15,2.3478,,,,,,,Y,not retained,Used for resipirometry. No picture,20210730,JC
SG2105,Sarmiento,6,4,11,83,Myctophum punctatum,MYPU,genetic,MYPU,20230725,M,IMG_6886,95,,80,8.2952,,,,,,,Y,not retained,"Used for resipirometry. ID Notes: think 2 low Prc, SAO straigh line; AOP=10",20210720,JC
SG2105,Sarmiento,7,1,12,90,Amphipoda,AMPH,visual,AMPH,,,IMG_6916,,,14,0.0685,,,,,,,Y,not retained,Used for resipirometry. ,20210727,JC
SG2105,Sarmiento,7,1,13,91,Amphipoda,AMPH,visual,AMPH,,,IMG_6917,,,16,0.1063,,,,,,,Y,not retained,Used for resipirometry. ,20210727,JC
SG2105,Sarmiento,7,1,14,92,Amphipoda,AMPH,visual,AMPH,,,IMG_6920,,,13,0.0725,,,,,,,Y,not retained,Used for resipirometry. ,20210728,JC
SG2105,Sarmiento,7,2,15,93,Decapoda,DECA,visual,DECA,,,IMG_6926,,,15,2.572,,,,,,,Y,not retained,Used for resipirometry. ,20210731,JC
SG2105,Sarmiento,7,2,16,94,Decapoda,DECA,visual,DECA,,,IMG_6928,,,12,1.7268,,,,,,,Y,not retained,Used for resipirometry. ,20210731,JC
SG2105,Sarmiento,7,2,17,95,Systellapsis debilis,SYDE,genetic,DECA,20230725,,IMG_6930,,,13,1.5456,,,,,,,Y,not retained,Used for resipirometry. ,20210731,JC
SG2105,Sarmiento,8,4,18,105,Myctophum punctatum,MYPU,genetic,MYPU,20230725,M,IMG_6938,,,69,5.11,,,,,,,Y,not retained,"Used for resipirometry. Caudal fin damaged, no TL taken.ID Notes: think 2 low Prc, SAO straigh line; AOP=10",20210720,JC
