Epoch,"Trap type (1=NBST, 2=STT)",Platform,Depth_nominal_m,Depth actual (m),"Trap rep (0=first trap deployed at target depth, 1=second trap deployed at target depth)",R2R event,Date deploy (UTC),Date lids (UTC),Date resurface (UTC),Date recover (UTC),Lat deploy,Lon deploy,Lat lids,Lon lids,Lat resurface,Lon resurface,Lat recover,Lon recover,Split,C_flux_mmolC_m2_d,C_flux_uncertainty,PIC flux (mmol-PIC/m2/d),PIC flux uncertainty,POC flux (mmol-POC/m2/d),POC flux uncertainty,N flux (mmol-N/m2/d),N flux uncertainty,bSi flux (mmol-bSi/m2/d),bSi flux uncertainty,Mass flux (mg/m2/d),Mass flux uncertainty,234Th_flux_dpm_m2_d,234Th_flux_uncertainty,"Burnwire flag (0=burnwire functional, 3=burnwire failure, lids open until recovery)",Deployment notes
1,1,NBST 302,175,178,0,20210506.0110.001,5/5/21 19:10,5/7/21 13:00,5/7/21 16:00,5/8/21 0:20,49.010543,-14.865965,,,49.01877,-14.96906,49.028996,-14.832218,mean,4.21,1.5,0.18,0.07,4,1.5,0.49,0.27,0.426,0.023,199,72,546,51,0,
1,1,NBST 307,175,177,1,20210506.0111.001,5/5/21 16:00,5/7/21 14:00,5/7/21 16:15,5/8/21 0:00,49.010439,-14.865775,,,49.02063,-14.96213,49.026148 ,-14.829408 ,mean,2.61,1.38,0.24,0.3,2.4,1.4,0.43,0.46,0.467,0.018,163,28,624,50,0,
1,2,STT 1,75,75,0,20210506.0058.001,5/5/21 11:06,--,5/11/21 9:25,5/11/21 10:06,49.006208,-14.862282,,,--,--,48.885729,-15.118989,mean,11.72,1.57,0.54,0.34,11.2,1.6,1.76,0.35,1.15,0.071,430,22,975,84,3,Burnwire failure.  Weather-delayed recovery (recovered at 5.93 d)
1,2,STT 2,125,125,0,20210506.0058.001,5/5/21 11:06,5/7/21 18:45,5/11/21 9:32,5/11/21 10:06,49.006208,-14.862282,,,--,--,48.885729,-15.118989,mean,5.81,1.03,0.75,0.36,5.1,1.1,0.86,0.4,0.806,0.03,290,58,1187,89,0,Weather-delayed recovery (recovered at 5.93 d)
1,2,STT 3,175,175,0,20210506.0058.001,5/5/21 11:06,5/7/21 18:45,5/11/21 9:41,5/11/21 10:06,49.006208,-14.862282,,,--,--,48.885729,-15.118989,mean,4.1,1.21,0.36,0.3,3.7,1.2,0.82,0.75,0.538,0.028,179,16,906,19,0,Weather-delayed recovery (recovered at 5.93 d)
1,2,STT 4,330,330,0,20210506.0058.001,5/5/21 11:06,5/7/21 18:45,5/11/21 9:55,5/11/21 10:06,49.006208,-14.862282,,,--,--,48.885729,-15.118989,mean,2.56,1.67,0.44,0.17,2.1,1.7,0.19,0.35,0.46,0.013,146,15,728,15,0,Weather-delayed recovery (recovered at 5.93 d)
1,2,STT 5,500,500,0,20210506.0058.001,5/5/21 11:06,5/7/21 18:45,5/11/21 10:06,5/11/21 10:06,49.006208,-14.862282,,,--,--,48.885729,-15.118989,mean,2.63,1.84,0.19,0.28,2.4,1.9,0.27,0.35,0.241,0.008,62,25,496,117,0,Gel cam probably exploded during deployment (broke gel tube).  Weather-delayed recovery (recovered at 5.93 d)
2,2,STT 1,75,75,0,20210513.0913.001,5/12/21 23:11,5/15/21 18:00,5/16/21 17:06,5/16/21 17:45,49.138361,-14.794922,,,--,--,48.96311,-14.815173,mean,9.88,1.38,1.01,0.23,8.9,1.4,1.15,0.2,2.508,0.207,475,33,2225,96,0,Extra formalin+gel VERTEX tube
2,2,STT 2,125,125,0,20210513.0913.001,5/12/21 23:11,5/15/21 18:00,5/16/21 17:11,5/16/21 17:45,49.138361,-14.794922,,,--,--,48.96311,-14.815173,mean,5.98,2.98,0.65,0.04,5.3,3,0.68,0.45,1.442,0.069,278,12,1169,218,0,Extra formalin+gel VERTEX tube
2,2,STT 3,175,175,0,20210513.0913.001,5/12/21 23:11,5/15/21 18:00,5/16/21 17:20,5/16/21 17:45,49.138361,-14.794922,,,--,--,48.96311,-14.815173,mean,4.37,1.12,0.41,0.28,4,1.2,0.38,0.12,0.941,0.048,272,50,931,196,0,Extra formalin+gel VERTEX tube
