"Ship","Tow_number","Net_number","Taxon","Fish.ID","Image.Name","ImageJ.Number","Std_length_mm","Notes","Tow_net","cruise_no","fish_no","packet_no","lowest_taxa_final","taxa_code_final","taxa_code_final_method","taxa_code_original","taxa_updated_date","visual_ID_confidence","photo_ID","total_weight","gut_weight_full","gut_weight_empty","gut_dispensation","sex","sex_confidence","gonad_weight","head_collected","body_location","fish_comments","processed_date","processed_initials","taxa_code","Lowest_taxon","Date","TimeLocal","DayNight","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","MeshSize","DepthStart","DepthEnd","DepthInterval","VolFilt","Temp","Sal","FracBiom","VolFiltM3","split_correct_Cook","Family","estimated_weight","weight.to.use"
"Sarmiento","1",1,"Gonostomatidae","MOC1-Net1-Gon-1","SG2105_MOC1_Net1_ImageJ","1",30.387,NA,"1 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,1000,500,500,NA,NA,NA,NA,15552,NA,"Gonostomatidae",0.246785168240089,0.246785168240089
"Sarmiento","1",1,"Gonostomatidae","MOC1-Net1-Gon-2","SG2105_MOC1_Net1_ImageJ","2",31.857,NA,"1 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,1000,500,500,NA,NA,NA,NA,15552,NA,"Gonostomatidae",0.284275522363804,0.284275522363804
"Sarmiento","1",1,"Gonostomatidae","MOC1-Net1-Gon-3","SG2105_MOC1_Net1_ImageJ","3",32.3925,NA,"1 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,1000,500,500,NA,NA,NA,NA,15552,NA,"Gonostomatidae",0.298821684892788,0.298821684892788
"Sarmiento","1",1,"Myctophidae","MOC1-Net1-Myc-1","SG2105_MOC1_Net1_ImageJ","4",13.524,NA,"1 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,1000,500,500,NA,NA,NA,NA,15552,NA,"Myctophidae",0.0262806519628815,0.0262806519628815
"Sarmiento","1",3,"Sternoptychidae","MOC1-Net3-Ste-1","SG2105_MOC1_Net3_ImageJ","1",22.722,NA,"1 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,500,0,500,NA,NA,NA,NA,27932,NA,"Sternoptychidae",0.164942943764541,0.164942943764541
"Sarmiento","1",3,"Myctophidae","MOC1-Net3-Myc-1","SG2105_MOC1_Net3_ImageJ","2",25.452,NA,"1 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,500,0,500,NA,NA,NA,NA,27932,NA,"Myctophidae",0.187842011244468,0.187842011244468
"Sarmiento","2",1,"Myctophidae","MOC2-Net1-Myc-1","SG2105_MOC2_Net1_ImageJ","1",11.025,NA,"2 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,1000,500,500,NA,NA,NA,NA,23023,NA,"Myctophidae",0.0139208161592291,0.0139208161592291
"Sarmiento","2",1,"Gonostomatidae","MOC2-Net1-Gon-1","SG2105_MOC2_Net1_ImageJ","2",18.417,NA,"2 _ 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,1000,500,500,NA,NA,NA,NA,23023,NA,"Gonostomatidae",0.0551185758937918,0.0551185758937918
"Sarmiento","2",3,"Sternoptychidae","MOC2-Net3-Ste-1","SG2105_MOC2_Net3_ImageJ","7",14.1225,NA,"2 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,300,100,200,NA,NA,NA,NA,13316,NA,"Sternoptychidae",0.0402917019086176,0.0402917019086176
"Sarmiento","2",3,"Sternoptychidae","MOC2-Net3-Ste-2","SG2105_MOC2_Net3_ImageJ","8",17.1465,NA,"2 _ 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,300,100,200,NA,NA,NA,NA,13316,NA,"Sternoptychidae",0.0716065566140818,0.0716065566140818
