Family,Genus,Species,Lowest_taxon,loga,logase,logamin,logamax,b,bse,bmin,bmax
Alepocephalidae,NA,NA,Alepocephalidae,-11.65817859,0.663381716,-12.32156031,-10.99479687,3.034879405,0.130041351,2.904838054,3.164920756
Alepocephalidae,Xenodermichthys,NA,Xenodermichthys sp.,-11.95737884,0.6731078,-12.63048664,-11.28427104,3.057331966,0.169202301,2.888129664,3.226534267
Alepocephalidae,Xenodermichthys,Xenodermichthys copei,Xenodermichthys copei,-11.97554905,0.669856771,-12.64540582,-11.30569227,3.058695493,0.171208883,2.88748661,3.229904377
Gonostomatidae,NA,NA,Gonostomatidae,-11.6195271,0.653221834,-12.27274893,-10.96630527,2.993627843,0.102381434,2.891246409,3.096009276
Gonostomatidae,Cyclothone,NA,Cyclothone sp.,-12.0752695,0.364848435,-12.44011793,-11.71042106,2.984768162,0.100466314,2.884301849,3.085234476
Gonostomatidae,Cyclothone,Cyclothone braueri,Cyclothone braueri,-11.99279968,0.362564113,-12.3553638,-11.63023557,2.97850032,0.100479148,2.878021172,3.078979468
Gonostomatidae,Cyclothone,Cyclothone pallida,Cyclothone pallida,-12.10857877,0.403141927,-12.51172069,-11.70543684,2.986979434,0.105489865,2.881489569,3.092469299
Gonostomatidae,Cyclothone,Cyclothone microdon,Cyclothone microdon,-12.14538239,0.378077488,-12.52345988,-11.7673049,2.987834697,0.105375889,2.882458808,3.093210586
Melamphaidae,NA,NA,Melamphaidae,-11.01257464,0.859810605,-11.87238524,-10.15276403,2.965568046,0.153224232,2.812343814,3.118792278
Melamphaidae,Scopelogadus,NA,Scopelogadus sp.,-10.47817417,0.746515359,-11.22468953,-9.731658813,2.898526112,0.165389877,2.733136236,3.063915989
Melamphaidae,Scopelogadus,Scopelogadus beanii,Scopelogadus beanii,-10.42158205,0.744373369,-11.16595542,-9.67720868,2.897094418,0.167860716,2.729233702,3.064955134
Myctophidae,NA,NA,Myctophidae,-11.7397453,0.409795782,-12.14954108,-11.32994952,3.110358662,0.102068655,3.008290006,3.212427317
Myctophidae,Benthosema,NA,Benthosema sp.,-11.71391865,0.347858036,-12.06177669,-11.36606062,3.143720481,0.095233704,3.048486776,3.238954185
Myctophidae,Benthosema,Benthosema glaciale,Benthosema glaciale,-11.71235022,0.316911629,-12.02926185,-11.39543859,3.145746519,0.094168332,3.051578187,3.239914851
Myctophidae,Diaphus,NA,Diaphus sp.,-11.17815994,0.668299995,-11.84645993,-10.50985994,3.06958489,0.156084768,2.913500122,3.225669658
Myctophidae,Diaphus,Diaphus subtilis,Diaphus subtilis,-11.14405527,0.665789011,-11.80984428,-10.47826626,3.067108729,0.158667879,2.90844085,3.225776608
Myctophidae,Lampanyctus,NA,Lampanyctus sp.,-12.58030151,0.478698362,-13.05899987,-12.10160315,3.192708979,0.123646741,3.069062238,3.31635572
Myctophidae,Lampanyctus,Lampanyctus ater,Lampanyctus ater,-12.57552677,0.51586862,-13.09139539,-12.05965815,3.192604715,0.126813228,3.065791487,3.319417943
Myctophidae,Lampanyctus,Lampanyctus macdonaldi,Lampanyctus macdonaldi,-12.59187589,0.442437394,-13.03431328,-12.1494385,3.193431247,0.123572224,3.069859023,3.317003472
Myctophidae,Myctophum,NA,Myctophum sp.,-11.7770266,0.436644768,-12.21367137,-11.34038183,3.150686039,0.111105048,3.039580991,3.261791087
Myctophidae,Myctophum,Myctophum punctatum,Myctophum punctatum,-11.77929067,0.420065815,-12.19935648,-11.35922485,3.153135091,0.111479068,3.041656023,3.264614159
Myctophidae,Nannobrachium,NA,Nannobrachium sp.,-12.57404599,0.598588982,-13.17263497,-11.97545701,3.176180322,0.164590864,3.011589458,3.340771186
Myctophidae,Notoscopelus,NA,Notoscopelus sp.,-11.64278021,0.592339612,-12.23511983,-11.0504406,3.102633918,0.145180311,2.957453607,3.247814229
Myctophidae,Notoscopelus,Notoscopelus resplendens,Notoscopelus resplendens,-11.6368916,0.589622272,-12.22651387,-11.04726932,3.1021648,0.147047144,2.955117656,3.249211944
Myctophidae,Protomyctophum,NA,Protomyctophum sp.,-11.41413138,0.555567647,-11.96969903,-10.85856373,3.085202278,0.146399859,2.938802419,3.231602138
Myctophidae,Protomyctophum,Protomyctophum arcticum,Protomyctophum arcticum,-11.39435709,0.545736202,-11.94009329,-10.84862089,3.08367455,0.14826969,2.93540486,3.231944239
Myctophidae,Symbolophorus,NA,Symbolophorus sp.,-11.53415298,0.588129864,-12.12228284,-10.94602311,3.093053289,0.147684204,2.945369086,3.240737493
Myctophidae,Symbolophorus,Symbolophorus veranyi,Symbolophorus veranyi,-11.52166751,0.582754873,-12.10442238,-10.93891263,3.092002347,0.149647573,2.942354774,3.24164992
Sternoptychidae,NA,NA,Sternoptychidae,-11.05893727,0.670324773,-11.72926204,-10.38861249,2.963750511,0.115259053,2.848491457,3.079009564
Sternoptychidae,Argyropelecus,NA,Argyropelecus sp.,-10.09034769,0.287279483,-10.37762717,-9.803068206,2.866106306,0.087276393,2.778829913,2.953382699
Sternoptychidae,Argyropelecus,Argyropelecus aculeatus,Argyropelecus aculeatus,-9.980118152,0.358641561,-10.33875971,-9.621476591,2.858195458,0.096914466,2.761280992,2.955109924
Sternoptychidae,Argyropelecus,Argyropelecus hemigymnus,Argyropelecus hemigymnus,-10.31443891,0.252922268,-10.56736118,-10.06151664,2.887035396,0.079853442,2.807181955,2.966888838
Sternoptychidae,Argyropelecus,Argyropelecus lychnus,Argyropelecus lychnus,-10.05751245,0.306717891,-10.36423034,-9.750794558,2.864954729,0.091316925,2.773637805,2.956271654
Sternoptychidae,Argyropelecus,Argyropelecus olfersii,Argyropelecus olfersii,-10.00656381,0.326585473,-10.33314928,-9.679978336,2.851049475,0.096260884,2.754788591,2.947310358
Sternoptychidae,Valenciennellus,NA,Valenciennellus sp.,-11.40246463,0.578094123,-11.98055875,-10.82437051,2.99493221,0.146673456,2.848258754,3.141605666
Sternoptychidae,Valenciennellus,Valenciennellus tripunctulatus,Valenciennellus tripunctulatus,-11.42332679,0.561856251,-11.98518304,-10.86147054,2.996825852,0.148102677,2.848723174,3.144928529
