"Tow_number","Date","TimeLocal","DayNight","LatitudeStart","LongitudeStart","LatitudeEnd","LongitudeEnd","MeshSize","Net_number","DepthStart","DepthEnd","DepthInterval","VolFilt","Temp","Sal","FracBiom","VolFiltM3","Tow_net","Ship"
"1","5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,1,1000,500,500,NA,NA,NA,NA,15552,"1 _ 1","Sarmiento"
"1","5/6/21","12:19:00","Day",48.935261,-14.81727,48.944183,-14.88836,333,3,500,0,500,NA,NA,NA,NA,27932,"1 _ 3","Sarmiento"
"2","5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,1,1000,500,500,NA,NA,NA,NA,23023,"2 _ 1","Sarmiento"
"2","5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,2,500,300,200,NA,NA,NA,NA,12654,"2 _ 2","Sarmiento"
"2","5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,3,300,100,200,NA,NA,NA,NA,13316,"2 _ 3","Sarmiento"
"2","5/6/21","21:33:00","Night",48.950748,-14.812915,48.960967,-14.928838,333,4,100,0,100,NA,NA,NA,NA,7943,"2 _ 4","Sarmiento"
"3","5/7/21","10:49:00","Day",48.933708,-14.935774,48.905158,-14.919339,333,1,500,300,200,NA,NA,NA,NA,6152,"3 _ 1","Sarmiento"
"3","5/7/21","10:49:00","Day",48.933708,-14.935774,48.905158,-14.919339,333,2,300,100,200,NA,NA,NA,NA,17010,"3 _ 2","Sarmiento"
"3","5/7/21","10:49:00","Day",48.933708,-14.935774,48.905158,-14.919339,333,3,100,0,100,NA,NA,NA,NA,6105,"3 _ 3","Sarmiento"
"4","5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,1,1000,500,500,NA,NA,NA,NA,33382,"4 _ 1","Sarmiento"
"4","5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,2,500,300,200,NA,NA,NA,NA,11623,"4 _ 2","Sarmiento"
"4","5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,3,300,100,200,NA,NA,NA,NA,11011,"4 _ 3","Sarmiento"
"4","5/13/21","2:18:00","Night",49.117264,-14.734732,49.027761,-14.771244,333,4,100,0,100,NA,NA,NA,NA,7325,"4 _ 4","Sarmiento"
"5","5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,1,1000,500,500,NA,NA,NA,NA,20594,"5 _ 1","Sarmiento"
"5","5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,2,500,300,200,NA,NA,NA,NA,9588,"5 _ 2","Sarmiento"
"5","5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,3,300,100,200,NA,NA,NA,NA,10917,"5 _ 3","Sarmiento"
"5","5/13/21","15:30:00","Day",49.111649,-14.747449,49.149111,-14.685163,333,4,100,0,100,NA,NA,NA,NA,7194,"5 _ 4","Sarmiento"
"6","5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,1,1000,500,500,NA,NA,NA,NA,25437,"6 _ 1","Sarmiento"
"6","5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,2,500,300,200,NA,NA,NA,NA,10378,"6 _ 2","Sarmiento"
"6","5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,3,300,100,200,NA,NA,NA,NA,10612,"6 _ 3","Sarmiento"
"6","5/14/21","0:18:00","Night",48.972416,-14.708406,48.91968,-14.79558,333,4,100,0,100,NA,NA,NA,NA,8374,"6 _ 4","Sarmiento"
"7","5/17/21","11:17:00","Day",48.919083,-14.818491,48.942654,-14.950189,333,1,1000,500,500,NA,NA,NA,NA,17737,"7 _ 1","Sarmiento"
"7","5/17/21","11:17:00","Day",48.919083,-14.818491,48.942654,-14.950189,333,2,500,300,200,NA,NA,NA,NA,14082,"7 _ 2","Sarmiento"
"7","5/17/21","11:17:00","Day",48.919083,-14.818491,48.942654,-14.950189,333,3,300,100,200,NA,NA,NA,NA,14482,"7 _ 3","Sarmiento"
"7","5/17/21","11:17:00","Day",48.919083,-14.818491,48.942654,-14.950189,333,4,100,0,100,NA,NA,NA,NA,25381.4,"7 _ 4","Sarmiento"
"8","5/17/21","23:45:00","Night",49.060371,-15.063954,49.056541,-15.188733,333,1,1000,500,500,NA,NA,NA,NA,27819,"8 _ 1","Sarmiento"
"8","5/17/21","23:45:00","Night",49.060371,-15.063954,49.056541,-15.188733,333,2,500,300,200,NA,NA,NA,NA,18058,"8 _ 2","Sarmiento"
"8","5/17/21","23:45:00","Night",49.060371,-15.063954,49.056541,-15.188733,333,3,300,100,200,NA,NA,NA,NA,17420,"8 _ 3","Sarmiento"
"8","5/17/21","23:45:00","Night",49.060371,-15.063954,49.056541,-15.188733,333,4,100,0,100,NA,NA,NA,NA,15285,"8 _ 4","Sarmiento"
"9","5/18/21","23:29:00","Night",49.043602,-14.920976,49.079132,-15.014477,333,1,1000,500,500,NA,NA,NA,NA,21738,"9 _ 1","Sarmiento"
"9","5/18/21","23:29:00","Night",49.043602,-14.920976,49.079132,-15.014477,333,2,500,300,200,NA,NA,NA,NA,15366,"9 _ 2","Sarmiento"
"9","5/18/21","23:29:00","Night",49.043602,-14.920976,49.079132,-15.014477,333,3,300,100,200,NA,NA,NA,NA,18535,"9 _ 3","Sarmiento"
"9","5/18/21","23:29:00","Night",49.043602,-14.920976,49.079132,-15.014477,333,4,100,0,100,NA,NA,NA,NA,11783,"9 _ 4","Sarmiento"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,2,1000,750,250,1057.7,10.585,35.437,4,1971.8,"10 _ 2","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,3,750,500,250,1019.1,10.861,35.461,4,1894.2,"10 _ 3","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,4,500,400,100,387,10.858,35.461,4,720.5,"10 _ 4","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,5,400,300,100,582.5,10.907,35.466,4,1088.3,"10 _ 5","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,6,300,200,100,550.7,11.005,35.473,4,1015.7,"10 _ 6","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,7,200,150,50,265.7,11.155,35.486,4,499.7,"10 _ 7","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,8,150,100,50,240.4,11.459,35.522,4,451.7,"10 _ 8","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,9,100,50,50,283,11.642,35.534,4,528.7,"10 _ 9","Cook"
"10","5/6/21","10:53:00","Day",48.935908,-14.803497,48.96908333,-15.04286667,222,10,50,0,50,342.6,NA,NA,4,528.2,"10 _ 10","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,2,1000,750,250,1092.1,10.595,35.417,4,2016,"11 _ 2","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,3,750,500,250,735.9,10.86,35.441,4,1373.7,"11 _ 3","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,4,500,400,100,546.6,10.856,35.442,4,1023,"11 _ 4","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,5,400,300,100,411.7,10.892,35.446,4,770.4,"11 _ 5","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,6,300,200,100,586.5,10.963,35.449,4,1097.8,"11 _ 6","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,7,200,150,50,385.2,11.131,35.466,4,720.9,"11 _ 7","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,8,150,100,50,293.6,11.38,35.497,4,550.9,"11 _ 8","Cook"
"11","5/6/21","21:30:00","Night",48.96875,-14.8018,48.97488333,-15.03573333,222,9,100,50,50,240.1,12.37,35.52,4,449.7,"11 _ 9","Cook"
"11","5/7/21","2:02:00","Night",48.97581667,-15.06758333,48.97653333,-15.09196667,222,10,50,0,50,347.3,NA,NA,4,523.9,"11 _ 10","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,2,1000,750,250,794,10.447,35.426,2,1488.1,"47 _ 2","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,3,750,500,250,905.1,10.861,35.46,2,1710.7,"47 _ 3","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,4,500,400,100,646.4,10.885,35.458,2,1207,"47 _ 4","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,5,400,300,100,532.9,10.963,35.462,2,997.1,"47 _ 5","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,6,300,200,100,762,11.205,35.491,2,1426.9,"47 _ 6","Cook"
"47","5/17/21","10:07:00","Day",48.93581667,-14.83035,48.8934,-15.04843333,222,7,200,150,50,235.6,11.398,35.514,2,440.8,"47 _ 7","Cook"
